vPHOS,vTP,iTCO2,Carotenoids_whole_blood,vUA,iGlu,vCK,iHct,iCl,iNa,iAnGap,vGLU,iK,iHb,vGLOB,vK,vAST,vALB,vCA,vNA,Age,FH
6.5,3.6,24.0,3.98,5.3,216.6,3535.6,21.0,115.0,146.0,13.0,187.0,5.3,7.1,1.3,3.5,715.0,2.3,11.6,153.0,48.0,1.0
5.6,3.0,24.0,0.52,5.8,257.0,2583.0,21.0,112.0,148.0,19.0,272.0,5.7,7.1,1.1,7.1,211.0,1.8,12.2,165.0,16.0,0.0
6.2,3.2,28.0,0.68,8.2,275.0,2099.0,23.0,106.0,143.0,16.0,306.0,5.7,7.8,1.0,7.3,180.0,2.2,12.9,166.0,21.0,0.0
4.7,3.4,22.0,2.45,5.7,264.0,4385.2,23.0,115.0,149.0,19.0,269.0,5.3,7.8,1.4,6.9,323.0,2.1,11.4,156.0,44.0,0.0
6.1,2.8,27.0,0.75,6.1,256.0,2029.0,19.0,108.0,144.0,16.0,262.0,5.4,6.5,0.8,6.3,151.0,1.9,11.6,155.0,21.0,0.0
7.1,3.6,22.0,8.32,7.1,236.0,3931.0,19.0,111.0,146.0,21.0,256.0,6.9,6.5,1.4,7.26,218.0,2.1,13.7,163.0,28.0,0.0
5.1,3.4,20.0,0.66,7.4,224.0,3334.0,24.0,115.0,141.0,13.0,225.0,6.2,8.2,1.5,6.9,214.0,1.9,11.4,155.0,29.0,0.0
6.7,2.6,27.0,1.234069261,5.8,247.0,1475.0,17.0,107.0,138.0,10.0,254.0,6.2,5.8,0.7,7.0,171.0,1.9,11.5,150.0,15.0,0.0
6.2,3.3,22.0,0.171128022,4.5,256.0,2715.0,17.0,110.0,141.0,15.0,21.0,4.9,5.8,1.4,5.8,161.0,2.0,12.5,148.0,29.0,0.0
6.5,2.8,26.0,0.91,5.4,259.0,3054.0,21.0,103.0,139.0,16.0,275.0,5.3,7.1,0.8,6.2,161.0,2.0,11.3,149.0,27.0,0.0
6.5,2.3,24.0,0.57,9.5,234.0,7761.0,15.0,108.0,144.0,18.0,244.0,5.4,5.1,0.7,6.4,278.0,1.6,11.0,154.0,15.0,0.0
5.2,3.4,20.0,0.3,2.4,533.0,1652.0,21.0,104.0,140.0,22.0,506.0,5.3,7.1,1.9,6.0,161.0,1.5,12.7,146.0,26.0,0.0
5.9,3.6,25.0,1.91,3.9,240.0,4167.4,22.0,109.0,143.0,15.0,248.0,4.8,7.5,1.4,6.6,194.0,2.2,11.9,152.0,34.0,0.0
7.4,2.7,24.0,0.7,8.2,247.0,1252.0,20.0,107.0,141.0,17.0,265.0,5.8,6.8,0.9,6.7,183.0,1.8,12.8,163.0,16.0,0.0
2.0,3.5,22.0,0.49,10.6,248.0,2322.0,24.0,113.0,150.0,21.0,243.0,5.7,8.2,1.3,6.7,215.0,2.2,11.8,158.0,22.0,0.0
5.4,3.5,28.0,0.74,7.9,291.0,1534.0,25.0,104.0,141.0,17.0,311.0,5.5,8.5,1.2,6.3,187.0,2.3,12.8,154.0,21.0,0.0
7.5,2.9,27.0,0.93,8.2,257.0,5830.0,20.0,107.0,140.0,14.0,280.0,6.6,6.8,0.7,8.0,189.0,2.1,11.6,155.0,21.0,0.0
6.9,3.9,27.0,3.72,2.0,246.0,3645.4,25.0,114.0,144.0,9.0,250.0,5.1,8.5,1.5,4.36,622.0,2.4,11.8,156.0,49.0,1.0
4.5,2.9,31.0,0.41,17.9,179.0,3358.0,22.0,97.0,137.0,17.0,181.0,6.0,7.5,0.5,7.4,312.0,2.4,12.5,156.0,15.0,0.0
2.5,2.7,25.0,0.7,11.8,227.0,5192.0,21.0,109.0,147.0,20.0,222.0,6.0,7.1,1.0,7.7,187.0,1.7,12.4,155.0,22.0,0.0
6.6,3.5,31.0,2.4616,3.7,236.0,4195.0,26.0,114.0,148.0,10.0,243.0,6.3,8.8,0.8,8.0,181.0,2.7,12.1,156.0,41.0,0.0
2.1,2.4,20.0,1.58,6.2,235.0,4084.0,18.0,105.0,143.0,25.0,236.0,4.8,6.1,0.6,6.8,176.0,1.8,11.8,147.0,14.0,0.0
5.3,2.7,22.0,0.12,1.7,242.0,1715.0,21.0,110.0,146.0,21.0,242.0,5.7,7.1,1.2,7.1,173.0,1.5,10.9,149.0,26.0,0.0
5.7,3.1,24.0,2.351788839,7.5,220.0,4165.4,19.0,110.0,144.0,15.0,217.0,4.9,6.5,1.3,5.26,558.0,1.9,12.0,151.0,24.0,0.0
4.9,2.9,24.0,0.2,2.1,236.0,3252.0,20.0,109.0,143.0,17.0,240.0,5.9,6.8,0.8,6.8,173.0,2.1,12.4,153.0,21.0,1.0
5.9,2.8,25.0,0.63,5.0,258.0,1438.0,18.0,107.0,141.0,15.0,266.0,6.0,6.1,0.9,6.8,173.0,1.9,11.7,148.0,15.0,0.0
6.1,2.3,28.0,0.43,7.1,253.0,1176.0,15.0,104.0,137.0,12.0,260.0,5.8,5.1,0.5,6.3,170.0,1.9,11.3,144.0,15.0,0.0
6.2,3.2,20.0,0.046363582,4.9,302.0,2880.0,20.0,110.0,140.0,17.0,304.0,5.6,6.8,1.9,6.5,175.0,1.3,12.1,149.0,29.0,0.0
6.1,3.9,33.0,1.62,7.5,218.0,5092.0,26.0,106.0,146.0,14.0,228.0,6.0,8.8,1.7,7.1,247.0,2.2,11.6,156.0,42.0,0.0
6.1,3.3,21.0,0.49,2.3,230.0,4338.0,23.0,111.0,146.0,20.0,239.0,4.7,7.8,1.2,5.9,190.0,2.1,11.7,158.0,33.0,0.0
5.8,3.7,21.0,0.441341014,10.0,239.0,2281.0,22.0,114.0,142.0,14.0,234.0,5.5,7.5,1.9,6.6,234.0,1.9,11.1,147.0,26.0,0.0
6.1,3.1,31.0,2.01,3.6,247.0,3535.6,25.0,108.0,148.0,15.0,254.0,4.9,8.5,1.0,4.88,733.0,2.1,11.1,154.0,49.0,0.0
6.3,3.2,24.0,0.44,3.1,229.0,3191.0,21.0,108.0,144.0,18.0,227.0,5.1,7.1,1.3,7.0,200.0,1.9,11.6,149.0,28.0,0.0
4.8,2.2,22.0,0.34,7.8,153.0,1316.0,19.0,108.0,143.0,18.0,157.0,4.8,6.5,0.6,6.1,160.0,1.6,12.1,144.0,10.0,0.0
5.5,3.0,15.0,0.5192338639999999,18.5,272.0,1413.0,21.0,119.0,144.0,18.0,270.0,6.5,7.1,1.0,7.3,162.0,1.9,12.3,152.0,20.0,0.0
5.8,2.7,23.0,0.71,5.2,230.0,1956.0,24.0,108.0,142.0,16.0,247.0,4.7,8.2,0.7,5.2,193.0,2.0,11.5,156.0,21.0,0.0
5.6,2.9,23.0,2.06,5.2,238.0,2317.0,18.0,113.0,143.0,14.0,247.0,6.1,6.1,0.9,6.8,178.0,2.1,11.4,152.0,21.0,0.0
5.7,3.2,29.0,0.63,7.2,273.0,1747.0,23.0,106.0,139.0,10.0,299.0,5.2,7.8,1.2,5.9,179.0,1.9,12.4,155.0,21.0,0.0
6.9,2.9,22.0,1.15,2.9,249.0,2320.0,19.0,110.0,141.0,14.0,254.0,5.0,6.5,1.0,5.7,177.0,1.8,10.7,149.0,21.0,0.0
5.6,3.0,21.0,1.627548948,2.4,238.0,3504.8,20.0,112.0,144.0,17.0,255.0,5.2,6.8,0.7,7.459999999999999,367.0,2.3,12.1,161.0,16.0,0.0
5.0,3.6,24.0,1.485467379,7.1,241.0,5257.0,22.0,109.0,140.0,14.0,234.0,5.6,7.5,1.4,7.5,222.0,2.2,12.0,145.0,17.0,0.0
6.4,2.8,25.0,1.38,6.3,228.0,3136.0,21.0,107.0,137.0,13.0,239.0,6.0,7.1,0.9,7.1,167.0,1.9,11.8,151.0,21.0,0.0
6.2,2.3,27.0,0.57,5.0,269.0,1054.0,16.0,107.0,140.0,13.0,281.0,5.6,5.4,0.7,6.2,171.0,1.6,11.3,150.0,15.0,0.0
5.3,3.3,29.0,0.263244793,11.4,255.0,867.0,20.0,105.0,143.0,14.0,269.0,4.6,6.8,1.5,5.3,170.0,1.8,15.0,150.0,29.0,1.0
6.4,2.4,24.0,0.703477225,7.0,206.0,2799.0,17.0,105.0,136.0,15.0,211.0,6.9,5.8,0.7,7.7,188.0,1.7,12.9,146.0,10.0,0.0
4.4,3.6,22.0,1.09,13.0,241.0,2589.0,23.0,111.0,142.0,15.0,237.0,5.4,7.8,1.3,6.3,242.0,2.3,11.4,148.0,30.0,0.0
4.9,2.8,22.0,0.26,5.6,268.0,1940.0,21.0,110.0,141.0,16.0,273.0,5.4,7.1,1.0,5.6,193.0,1.7,10.7,147.0,21.0,0.0
5.9,3.0,22.0,1.33,2.4,242.0,1557.0,23.0,113.0,147.0,19.0,241.0,6.2,7.8,1.0,6.0,174.0,2.1,10.8,147.0,22.0,0.0
4.3,2.5,29.0,10.12,2.8,234.0,5517.0,19.0,100.0,129.0,7.0,241.0,6.2,6.5,0.5,6.5,291.0,2.0,10.3,141.0,1.0,0.0
6.1,3.7,20.0,2.1828,4.9,224.0,6335.0,22.0,114.0,146.0,19.0,224.0,5.7,7.5,1.4,7.4,213.0,2.2,11.7,151.0,36.0,0.0
4.3,3.5,22.0,1.2,10.5,238.0,4938.0,26.0,114.0,142.0,13.0,239.0,5.9,8.8,1.6,8.0,228.0,1.9,12.7,155.0,26.0,0.0
7.1,2.8,29.0,0.82,5.4,244.0,2055.0,17.0,102.0,140.0,16.0,258.0,5.5,5.8,0.9,6.4,131.0,1.9,11.3,149.0,21.0,0.0
7.6,3.2,24.0,2.39,4.9,275.0,7600.0,21.0,106.0,143.0,18.0,288.0,4.7,7.1,0.9,6.5,226.0,2.3,11.1,148.0,30.0,0.0
7.1,2.6,24.0,2.79,4.8,226.0,677.0,15.0,109.0,142.0,14.0,247.0,4.1,5.1,0.6,4.2,180.0,2.0,10.9,154.0,6.0,0.0
5.8,2.9,22.0,0.579266095,5.7,252.0,3131.0,21.2,111.0,144.0,18.0,269.0,5.5,7.2,1.1,6.5,167.0,1.8,11.0,155.0,37.0,0.0
7.8,3.1,16.0,0.31,2.3,237.0,1853.0,25.0,113.0,146.0,24.0,243.0,6.1,8.5,1.3,7.3,179.0,1.9,12.9,151.0,21.0,0.0
5.8,3.0,27.0,0.93,6.2,263.0,2912.0,24.0,104.0,141.0,17.0,287.0,4.9,8.2,0.9,5.2,203.0,2.1,12.0,156.0,21.0,0.0
5.5,3.3,23.0,5.08,3.8,210.0,6185.4,22.0,116.0,150.0,17.0,218.0,4.7,7.5,1.0,8.4,297.0,2.2,11.2,158.0,34.0,1.0
6.3,3.4,24.0,0.87,5.4,244.0,6445.0,23.0,109.0,145.0,18.0,246.0,4.9,7.8,1.3,6.5,307.0,2.1,12.0,151.0,26.0,0.0
5.3,3.6,20.0,0.94,3.7,261.0,4511.0,23.0,109.0,145.0,21.0,275.0,4.5,7.8,1.4,6.1,201.0,2.2,12.1,151.0,28.0,0.0
4.9,3.4,23.0,2.755374489,8.2,246.0,5604.2,22.0,110.0,143.0,16.0,242.0,5.2,7.5,1.4,8.1,299.0,2.0,11.2,148.0,26.0,0.0
5.3,3.3,31.0,1.6,6.0,247.0,4066.6,24.0,104.0,148.0,19.0,251.0,5.7,8.2,1.2,6.220000000000001,397.0,2.1,11.5,157.0,45.0,0.0
3.7,2.3,24.0,0.12,5.0,201.0,1395.0,20.0,105.0,138.0,16.0,204.0,5.5,6.8,0.7,6.1,186.0,1.6,10.9,146.0,21.0,0.0
4.8,3.2,20.0,1.58,2.2,219.0,1869.0,23.0,113.0,143.0,16.0,223.0,4.8,7.8,1.2,5.6,175.0,2.0,11.1,147.0,24.0,0.0
6.9,3.2,22.0,0.42,3.5,234.0,3578.0,26.0,113.0,146.0,19.0,237.0,6.4,8.8,1.6,8.2,183.0,1.6,11.2,158.0,35.0,0.0
7.3,3.1,28.0,0.81,12.6,274.0,6988.0,21.0,108.0,144.0,16.0,282.0,6.8,7.1,1.0,8.1,218.0,2.1,13.0,154.0,22.0,0.0
7.7,3.2,23.0,0.403316071,1.4,245.0,2420.0,19.0,111.0,145.0,16.0,259.0,4.6,6.5,1.4,5.6,219.0,1.9,11.2,157.0,23.0,0.0
